id,title,old_url,new_url
344,24 Surprising Things You Can Buy With Your FSA and HSA,https://godaylii.com/24-hsa-fsa-eligible-expenses/,https://iq.godaylii.com/articles/24-hsa-fsa-eligible-expenses/
416,AI for FSA and HSA: A Smarter Way to Manage Money,https://godaylii.com/ai-for-fsa-hsa/,https://iq.godaylii.com/articles/ai-for-fsa-hsa/
991,AI FSA Management: Transforming Pre-Tax Healthcare for Keeps,https://godaylii.com/ai-fsa-management-transforming-pre-tax-healthcare/,https://iq.godaylii.com/articles/ai-fsa-management-transforming-pre-tax-healthcare/
406,AI Health Benefits Management: A Clear Guide,https://godaylii.com/ai-health-benefits-management/,https://iq.godaylii.com/articles/ai-health-benefits-management/
396,How an AI Health Finance Assistant Saves You Money,https://godaylii.com/ai-health-finance-assistant/,https://iq.godaylii.com/articles/ai-health-finance-assistant/
402,Top 5 AI Healthcare Automation Tools Reviewed,https://godaylii.com/ai-healthcare-automation-tools/,https://iq.godaylii.com/articles/ai-healthcare-automation-tools/
540,5 Best AI Healthcare Spending Platforms to Know,https://godaylii.com/ai-healthcare-spending-platforms/,https://iq.godaylii.com/articles/ai-healthcare-spending-platforms/
763,Your Guide to Amazon HSA Eligible Products,https://godaylii.com/amazon-hsa-eligible-products/,https://iq.godaylii.com/articles/amazon-hsa-eligible-products/
881,Are Air Purifiers FSA Eligible? LMN Rules,https://godaylii.com/are-air-purifiers-fsa-eligible/,https://iq.godaylii.com/articles/are-air-purifiers-fsa-eligible/
855,Are Blood Pressure Monitors FSA Eligible? Guide,https://godaylii.com/are-blood-pressure-monitors-fsa-eligible/,https://iq.godaylii.com/articles/are-blood-pressure-monitors-fsa-eligible/
1020,Are Diapers FSA Eligible? A Parent’s Complete Guide,https://godaylii.com/are-diapers-fsa-eligible/,https://iq.godaylii.com/articles/are-diapers-fsa-eligible/
883,Are Eye Drops FSA Eligible? OTC Rules,https://godaylii.com/are-eye-drops-fsa-eligible/,https://iq.godaylii.com/articles/are-eye-drops-fsa-eligible/
866,Are Fertility Treatments HSA Eligible? Expense Guide,https://godaylii.com/are-fertility-treatments-hsa-eligible/,https://iq.godaylii.com/articles/are-fertility-treatments-hsa-eligible/
857,"Are Hearing Aids FSA Eligible? Costs, Claims, Receipts",https://godaylii.com/are-hearing-aids-fsa-eligible/,https://iq.godaylii.com/articles/are-hearing-aids-fsa-eligible/
